dma,team,Month,nba games watched unweighted,nba tv shows watched unweighted,nba games watched - unique users unweighted,nba tv shows watched - unique users unweighted,nba games watched,nba tv shows watched,nba games watched - unique users,nba tv shows watched - unique users,num_users,weighted_num_users
559,No Team,2022-02-01,724,980,96,108,1553.27910457375,2102.46414070115,205.925315841506,231.625015132366,1258,2703.651708199478
559,No Team,2022-03-01,717,903,102,116,1533.74853764643,1931.48393965517,218.056148224826,247.989754693013,1242,2661.8777492469617
559,No Team,2022-04-01,1848,2178,154,168,4008.67975781363,4724.35313938694,333.935819875128,364.275153879992,1206,2612.649449671298
559,No Team,2022-05-01,2035,2469,177,194,4468.25484420271,5421.99431389659,389.445393603472,426.675351931043,1222,2695.0578733018674
559,No Team,2022-06-01,541,785,140,171,1230.3934502492,1782.864501054,318.218909235553,387.81893311813,1164,2624.038547286519
559,No Team,2022-07-01,86,115,31,44,190.732414010729,254.978964394508,68.7313118115376,97.5075642833432,1211,2691.2005342047937
559,No Team,2022-08-01,20,43,7,19,44.2025885406226,95.1961404253537,15.4653839473182,42.0848187778173,1181,2619.0808105560063
559,No Team,2022-09-01,40,136,5,30,88.8817794947925,302.058141272314,11.1046023178719,66.5901528433427,1181,2624.541169568572
559,No Team,2022-10-01,440,581,51,64,1035.58485890842,1367.62587321104,119.828044648671,150.417773919645,1123,2628.7107844018346
560,Charlotte Hornets,2021-04-01,37570,45925,3729,4022,31424.8002293014,38404.4043245569,3115.28563320539,3360.93503808958,28827,23746.854099848002
560,Charlotte Hornets,2021-05-01,74218,87363,5098,5449,66857.2711313352,78689.6578487978,4595.52203765773,4912.2128285357,28704,25801.66606545511
560,Charlotte Hornets,2021-06-01,90873,111072,5392,5657,82827.9299699606,101242.261315768,4914.42195763268,5156.06037102914,28446,25977.954459268876
560,Charlotte Hornets,2021-07-01,31798,43270,4727,5375,29383.8147558287,39995.6667553457,4369.54717351718,4971.07621145857,28695,26617.38264017425
560,Charlotte Hornets,2021-08-01,6197,6981,1150,1205,5815.78707601429,6552.12817981886,1079.38557267872,1131.06942405105,28064,26401.800925100968
560,Charlotte Hornets,2021-09-01,241,968,101,267,228.750543579268,917.807004156322,95.8570266623889,253.102508879656,27553,26151.227529741376
560,Charlotte Hornets,2021-10-01,18833,25447,2527,2802,18020.1689318193,24349.6357810432,2417.90110515092,2681.02840371901,27626,26428.692779864145
560,Charlotte Hornets,2021-11-01,24098,33727,3188,3547,23148.334538355,32398.4551831837,3061.76558937419,3406.61663735002,27304,26265.445328826743
560,Charlotte Hornets,2021-12-01,30294,40357,3715,4152,28882.4725788423,38475.2340068747,3541.75573145089,3958.11157008665,27535,26295.01675616691
560,Charlotte Hornets,2022-01-01,29311,40163,3211,3669,27842.1363528934,38150.4961535818,3049.98496056817,3484.98732722167,27610,26268.025064937425
560,Charlotte Hornets,2022-02-01,33017,45214,3780,4320,31529.835675686,43177.6291180189,3609.87483751392,4125.52618837949,26513,25350.356350131126
560,Charlotte Hornets,2022-03-01,32319,42059,3568,4090,31103.4761813014,40478.6964981305,3432.64307522415,3935.04900205171,26417,25480.919490241155
560,Charlotte Hornets,2022-04-01,78619,94818,5355,5807,76678.2951649088,92473.8949346285,5222.30453752225,5662.42354666434,25901,25258.304819129768
560,Charlotte Hornets,2022-05-01,88691,110345,6074,6644,87929.8136284631,109402.52749542,6020.38975204348,6585.1020537431,25981,25806.0633100683
560,Charlotte Hornets,2022-06-01,26917,41177,5195,6402,27045.0092084307,41364.2288528471,5218.59129726751,6430.29973792912,25494,25626.39687371117
560,Charlotte Hornets,2022-07-01,7762,10378,1411,1819,7826.08292178844,10463.5608347896,1422.54915241609,1833.67073109378,25142,25454.724968314327
560,Charlotte Hornets,2022-08-01,358,2651,151,726,368.173969561173,2725.86585048035,155.272233962549,746.169948328028,24737,25481.622701508426
560,Charlotte Hornets,2022-09-01,379,2416,116,742,393.926684923913,2511.91449917589,120.62798578561,771.671176511918,24935,25946.82943819068
